Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°25'25.3""","76°07'55.8""",441,"G,Sd",Undiff.Sd.
"27°25'30.6""","76°09'04.3""",460,Sd,Undiff.Sd.
"27°25'00.7""","76°09'21.3""",443,Sd,Undiff.Sd.
"27°24'49.2""","76°08'58.9""",482,"Rk,G,Sd","QUART, AMPH"
"27°25'43.2""","76°09'22.3""",474,Sd,Undiff.Sd.
"27°25'36.7""","76°09'56.6""",500,Sd,Undiff.Sd.
"27°24'50.6""","76°10'38.1""",467,"Rk,Sd","QUART, AMPH"
"27°25'28.1""","76°10'58.6""",476,"Rk,Sd","QUART, SCHI"
"27°24'59.9""","76°12'03.9""",452,"Rk,G,Sd",QUART
"27°24'59.2""","76°11'03.8""",472,"Rk,Sd","QUART, SCHI"
"27°25'25.3""","76°11'40.5""",451,"Rk,G,Sd",QUART
"27°25'26.7""","76°13'08.1""",446,Sd,Undiff.Sd.
"27°25'39.7""","76°13'31.4""",452,Sd,Undiff.Sd.
"27°25'03.3""","76°13'59.9""",450,Sd,Undiff.Sd.
"27°25'10.6""","76°13'27.8""",446,Sd,Undiff.Sd.
"27°25'40.2""","76°14'13.4""",438,Sd,Undiff.Sd.
"27°25'48.4""","76°14'59.1""",452,Sd,Undiff.Sd.
"27°25'12.2""","76°14'59.1""",456,Sd,Undiff.Sd.
"27°25'35.4""","76°00'21.1""",459,Sd,Undiff.Sd.
"27°26'03.3""","76°00'54.9""",448,Sd,Undiff.Sd.
"27°26'07.6""","76°00'17.6""",459,Sd,Undiff.Sd.
"27°26'48.4""","76°01'05.7""",450,Sd,Undiff.Sd.
"27°26'34.8""","76°01'42.7""",457,Sd,Undiff.Sd.
"27°26'19.6""","76°02'04.3""",456,Sd,Undiff.Sd.
"27°26'20.4""","76°01'21.1""",425,Sd,Undiff.Sd.
"27°26'36.4""","76°02'17.8""",437,Sd,Undiff.Sd.
"27°26'32.4""","76°02'53.0""",421,Sd,Undiff.Sd.
"27°25'54.8""","76°03'21.1""",425,Sd,Undiff.Sd.
"27°26'14.5""","76°02'50.3""",422,Sd,Undiff.Sd.
"27°26'51.8""","76°03'19.1""",421,Sd,Undiff.Sd.
"27°26'39.6""","76°03'42.6""",426,Sd,Undiff.Sd.
"27°26'12.4""","76°04'37.5""",422,Sd,Undiff.Sd.
"27°26'10.0""","76°03'46.3""",425,Sd,Undiff.Sd.
"27°26'23.9""","76°04'44.7""",421,Sd,Undiff.Sd.
"27°26'34.8""","76°05'02.1""",425,"Rk,G,Sd","QUART, AMPH"
"27°26'05.0""","76°05'11.0""",421,"Rk,G,Sd","QUART, AMPH"
"27°26'52.0""","76°06'03.2""",437,"Rk,G,Sd","QUART, AMPH, GRAN"
"27°26'35.6""","76°06'16.0""",432,"Rk,G,Sd","QUART, AMPH"
"27°26'11.2""","76°06'46.4""",435,"Rk,G,Sd","QUART, AMPH"
"27°26'05.2""","76°06'28.4""",424,"Rk,G,Sd","QUART, AMPH, GRAN"
"27°26'41.2""","76°07'08.0""",426,"Rk,G,Sd",GRAN
"27°25'51.8""","76°07'50.9""",456,"Rk,G,Sd","QUART, AMPH"
"27°26'49.6""","76°07'58.9""",426,Sd,Undiff.Sd.
"27°26'49.1""","76°08'52.8""",428,Sd,Undiff.Sd.
"27°25'59.3""","76°09'42.8""",432,Sd,Undiff.Sd.
"27°26'09.5""","76°09'05.5""",434,Sd,Undiff.Sd.
"27°26'42.9""","76°09'30.9""",433,Sd,Undiff.Sd.
"27°26'26.2""","76°10'13.2""",430,"Rk,Sd","QUART, AMPH"
"27°26'19.4""","76°10'24.2""",542,Sd,Undiff.Sd.
"27°25'58.6""","76°10'15.0""",528,Sd,Undiff.Sd.
"27°26'35.4""","76°10'24.5""",452,"Rk,G,Sd","GRAN, SCHI, QUART"
"27°26'41.5""","76°11'19.5""",473,"Rk,G,Sd",QUART
"27°25'58.0""","76°11'51.6""",483,"Rk,Sd",GRAN
"27°25'58.8""","76°10'59.3""",458,Sd,Undiff.Sd.
"27°26'44.4""","76°11'59.3""",465,"Rk,G,Sd",QUART
"27°26'52.4""","76°12'35.4""",476,"Rk,G,Sd",QUART
"27°25'56.1""","76°13'05.3""",440,Sd,Undiff.Sd.
"27°25'55.2""","76°12'31.6""",429,Sd,Undiff.Sd.
"27°26'27.5""","76°13'05.2""",445,Sd,Undiff.Sd.
"27°26'35.4""","76°13'36.8""",432,Sd,Undiff.Sd.
"27°26'14.1""","76°14'25.5""",432,Sd,Undiff.Sd.
"27°26'06.9""","76°13'32.9""",433,"Rk,Sd","QUART, PHYLL"
"27°26'45.0""","76°14'02.6""",436,"Rk,Sd","QUART, PHYLL"
"27°26'36.4""","76°14'57.3""",439,"Rk,Sd","QUART, PHYLL"
"27°26'03.6""","76°14'58.1""",436,Sd,Undiff.Sd.
"27°27'09.4""","76°00'45.0""",436,Sd,Undiff.Sd.
"27°27'02.2""","76°00'03.6""",449,Sd,Undiff.Sd.
"27°27'33.4""","76°00'52.2""",444,Sd,Undiff.Sd.
"27°27'28.6""","76°01'20.2""",436,Sd,Undiff.Sd.
"27°27'16.4""","76°01'54.4""",443,Sd,Undiff.Sd.
"27°27'15.8""","76°01'27.4""",435,Sd,Undiff.Sd.
"27°27'43.0""","76°02'12.4""",466,Sd,Undiff.Sd.
"27°27'13.4""","76°02'31""",427,Sd,Undiff.Sd.
"27°27'35.0""","76°03'24""",422,Sd,Undiff.Sd.
"27°27'31.8""","76°03'58.8""",445,Sd,Undiff.Sd.
"27°27'07.0""","76°04'23.8""",437,Sd,Undiff.Sd.
"27°27'23.7""","76°04'04.2""",423,"Rk,Sd",Undiff.Sd.
"27°27'51.0""","76°04'24.0""",431,"Rk,G,Sd","QUART, AMPH"
"27°27'46.2""","76°05'12.2""",439,"Rk,Sd",Undiff.Sd.
"27°27'13.2""","76°06'04.1""",459,"Rk,Sd",Undiff.Sd.
"27°27'05.4""","76°05'00.3""",410,"Rk,G,Sd","QUART, AMPH"
"27°27'31.0""","76°05'41.5""",409,"Rk,G,Sd","QUART, AMPH"
"27°27'44.6""","76°06'20.3""",412,"Rk,Sd","QUART, AMPH, GR"
"27°27'10.3""","76°07'09.8""",408,"Rk,Sd","QUART, AMPH"
"27°27'16.6""","76°06'10.3""",412,"Rk,Sd","QUART, AMPH, GR"
"27°27'52.4""","76°07'04.4""",414,"Rk,G,Sd",GRAN
"27°27'47.0""","76°07'19.8""",409,"Rk,G,Sd","QUART, AMPH"
"27°27'12.6""","76°08'09.2""",410,Sd,Undiff.Sd.
"27°27'19.5""","76°07'19.8""",422,"Rk,G,Sd","GRAN, SCHI, QUA"
"27°27'43.0""","76°08'11.7""",426,"Rk,Sd","GRAN, SCHI, QUA"
"27°27'36.3""","76°09'05.2""",424,"Rk,G,Sd","QUART,SCHI"
"27°27'12.6""","76°09'30.5""",426,Sd,Undiff.Sd.
"27°27'56.0""","76°09'21.8""",428,Sd,Undiff.Sd.
"27°27'32.9""","76°10'05.3""",421,Sd,Undiff.Sd.
"27°27'22.8""","76°10'39.5""",427,Sd,Undiff.Sd.
"27°27'03.6""","76°10'14.6""",441,Sd,DOLO MARB
"27°27'43.8""","76°10'38.0""",416,Sd,"GRAN, AMPH"
"27°27'50.2""","76°11'16.8""",440,"Rk,Sd",CALC SILI
"27°27'23.8""","76°11'54.9""",457,"Rk,Sd","QUART,SCHI"
"27°27'19.3""","76°11'07.8""",455,Sd,Undiff.Sd.
"27°27'21.4""","76°12'46.9""",430,Sd,Undiff.Sd.
"27°27'09.4""","76°12'27.7""",449,Sd,Undiff.Sd.
"27°27'43.5""","76°13'16.7""",434,Sd,Undiff.Sd.
"27°27'53.9""","76°13'46.3""",422,Sd,Undiff.Sd.
"27°27'12.8""","76°14'08.1""",418,Sd,Undiff.Sd.
"27°27'14.2""","76°13'34.7""",421,Sd,Undiff.Sd.
"27°27'54.2""","76°14'12.9""",432,Sd,"QUART, PHYLL"
"27°27'49.2""","76°14'37.8""",442,Sd,Undiff.Sd.
"27°27'22.7""","76°14'47.1""",430,"Rk,Sd","QUART, PHYLL"
"27°27'53.1""","76°00'18""",427,Sd,Undiff.Sd.
"27°28'15.2""","76°01'01""",434,Sd,Undiff.Sd.
"27°28'26.4""","76°00'25""",434,Sd,Undiff.Sd.
"27°28'55.2""","76°00'44""",438,Sd,Undiff.Sd.
"27°28'43.2""","76°01'27.3""",443,Sd,Undiff.Sd.
"27°28'31.2""","76°01'54.3""",443,Sd,Undiff.Sd.
"27°28'21.6""","76°01'27.3""",438,Sd,Undiff.Sd.
"27°28'58.8""","76°03'00.1""",456,Sd,Undiff.Sd.
"27°28'21.0""","76°03'16.4""",452,Sd,Undiff.Sd.
"27°28'19.2""","76°02'53.9""",455,Sd,Undiff.Sd.
"27°28'49.6""","76°03'35.3""",445,Sd,Undiff.Sd.
"27°28'49.6""","76°03'51.6""",462,Sd,Undiff.Sd.
"27°28'17.6""","76°04'23.1""",478,Sd,Undiff.Sd.
"27°28'28.8""","76°03'42.6""",430,Sd,Undiff.Sd.
"27°28'59.7""","76°04'48.3""",455,Sd,Undiff.Sd.
"27°28'54.4""","76°05'19.0""",425,Sd,Undiff.Sd.
"27°28'54.4""","76°05'54.2""",417,Sd,Undiff.Sd.
"27°28'47.2""","76°06'09.5""",412,Sd,Undiff.Sd.
"27°28'27.2""","76°06'42.8""",405,Sd,Undiff.Sd.
"27°28'23.2""","76°06'38.3""",418,Sd,Undiff.Sd.
"27°28'53.6""","76°06'47.3""",411,Sd,Undiff.Sd.
"27°28'47.2""","76°07'18.9""",407,Sd,Undiff.Sd.
"27°28'08.0""","76°08'15.4""",408,Sd,Undiff.Sd.
"27°28'31.1""","76°07'45.9""",412,Sd,Undiff.Sd.
"27°28'52.8""","76°08'07.5""",417,"Rk,Sd","QUART, SCHI"
"27°28'48.0""","76°08'47.6""",418,"Rk,Sd,Clay","QUART, SCHI"
"27°28'22.6""","76°09'36.5""",419,"Rk,Sd,Clay","QUART, SCHI"
"27°28'07.1""","76°09'06.8""",407,"Rk,Sd,Clay","QUART, SCHI"
"27°28'39.9""","76°09'36.0""",414,"Rk,Sd,Clay","QUART, SCHI"
"27°29'02.3""","76°09'52.6""",417,"Rk,Sd,Clay","QUART, SCHI"
"27°28'05.6""","76°10'37.6""",417,"Rk,G,Sd","GRAN, SCHI, QUA"
"27°28'19.5""","76°09'47.9""",418,"Rk,G,Sd","QUART, SCHI"
"27°28'45.7""","76°10'24.5""",419,"Rk,G,Sd","QUART, SCHI"
"27°28'17.9""","76°11'46.8""",415,"Sd,Clay",Undiff.Sd.
"27°28'02.4""","76°11'12.3""",421,Sd,Undiff.Sd.
"27°28'55.2""","76°11'35.5""",418,Sd,Undiff.Sd.
"27°28'46.4""","76°12'15.4""",446,Sd,Undiff.Sd.
"27°28'24.0""","76°12'51.0""",441,Sd,Undiff.Sd.
"27°28'13.6""","76°12'27.1""",430,Sd,Undiff.Sd.
"27°28'47.2""","76°13'15.7""",422,Sd,Undiff.Sd.
"27°28'35.2""","76°13'47.1""",426,Sd,Undiff.Sd.
"27°28'30.4""","76°14'15.8""",429,Sd,Undiff.Sd.
"27°28'28.8""","76°13'48.8""",423,Sd,Undiff.Sd.
"27°28'00.8""","76°14'44.8""",426,Sd,Undiff.Sd.
"27°28'41.2""","76°00'23.4""",427,Sd,Undiff.Sd.
"27°29'17.8""","76°01'06.6""",430,Sd,Undiff.Sd.
"27°29'28.2""","76°00'28.8""",440,Sd,Undiff.Sd.
"27°29'49.8""","76°01'00.3""",434,Sd,Undiff.Sd.
"27°29'44.2""","76°01'30.0""",436,Sd,Undiff.Sd.
"27°29'24.2""","76°02'16.8""",440,Sd,Undiff.Sd.
"27°29'32.2""","76°01'24.6""",460,Sd,Undiff.Sd.
"27°29'42.6""","76°02'06.1""",452,Sd,Undiff.Sd.
"27°29'45.0""","76°02'34.1""",459,Sd,Undiff.Sd.
"27°29'26.6""","76°03'18.2""",466,Sd,Undiff.Sd.
